key,es,en
CARD_62_NAME,Dragón boreal,Boreal Dragon
CARD_62_DESC,"{condition:Mi {player:jugador}  no tiene criaturas en {board:mesa}, y ha {play:jugado} 8 cartas de {family:Hielo} o más}. {endround:Final de ronda}: si hay hueco, {play:invoco} una cría de dragón en la mesa de mi {player:jugador}","{condition:My {player:player} has no creatures on the {board:board}, and has {play:played} 8 or more {family:Ice} cards}. {endround:End of round}: if there is space, I {play:summon} a dragon hatchling on my {player:player}'s board"
CARD_63_NAME,Hechicero del cero absoluto,Sorcerer of Absolute Zero
CARD_63_DESC,"Cuando una unidad {rival:rival} llega a 0 de ataque, le inflinjo [0/-2]","When a {rival:rival} unit reaches 0 attack, I deal it [0/-2]"
CARD_64_NAME,Avalancha,Avalanche
CARD_64_DESC,{condition:Mi {player:jugador} ha {play:jugado} 5 hechizos {family:hielo} o más}. [-2/0] a toda la mesa {rival:rival}. [0/-3] a las unidades del {rival:rival} con 0 de ataque,{condition:My {player:player} has {play:played} 5 or more {family:ice} spells}. [-2/0] to the entire {rival:rival} board. [0/-3] to the {rival:rival}'s units with 0 attack
CARD_65_NAME,Cría de dragón,Dragon Hatchling
CARD_65_DESC,{skill:HABILIDAD}: quito 1 de vida al {rival:rival} y se lo otorgo a mi {player:jugador},{skill:SKILL}: I take 1 life from the {rival:rival} and grant it to my {player:player}
CARD_70_NAME,FÍSICO,PHYSICAL
CARD_70_DESC,{add:Crea} ENLACE y BITS entre las 10 primeras cartas del {deck:mazo},{add:Create} LINK and BITS among the first 10 cards of the {deck:deck}
CARD_71_NAME,BITS,BITS
CARD_71_DESC,Curo 2 de vida a mi {player:jugador},I heal my {player:player} for 2 life
CARD_72_NAME,ENLACE,LINK
CARD_72_DESC,{add:Crea} RED y TRAMA entre las 10 primeras cartas del {deck:mazo},{add:Create} NETWORK and FRAME among the first 10 cards of the {deck:deck}
CARD_73_NAME,TRAMA,FRAME
CARD_73_DESC,{draw:Roba} una carta,{draw:Draw} a card
CARD_74_NAME,RED,NETWORK
CARD_74_DESC,{add:Crea} TRANSPORTE y PAQUETE entre las 10 primeras cartas del {deck:mazo},{add:Create} TRANSPORT and PACKET among the first 10 cards of the {deck:deck}
CARD_75_NAME,PAQUETE,PACKET
CARD_75_DESC,[0/+1] a las unidades de mi {player:jugador} en {board:mesa},[0/+1] to my {player:player}'s units on the {board:board}
CARD_76_NAME,TRANSPORTE,TRANSPORT
CARD_76_DESC,{add:Crea} SESIÓN y DATAGRAMA entre las 10 primeras cartas del {deck:mazo},{add:Create} SESSION and DATAGRAM among the first 10 cards of the {deck:deck}
CARD_77_NAME,DATAGRAMA,DATAGRAM
CARD_77_DESC,[+1/0] a las unidades de mi {player:jugador} en {board:mesa},[+1/0] to my {player:player}'s units on the {board:board}
CARD_78_NAME,SESIÓN,SESSION
CARD_78_DESC,{add:Crea} PRESENTACIÓN y DATOS DE SESIÓN entre las 10 primeras cartas del {deck:mazo},{add:Create} PRESENTATION and SESSION DATA among the first 10 cards of the {deck:deck}
CARD_79_NAME,DATOS DE SESIÓN,SESSION DATA
CARD_79_DESC,Curo 4 de vida a mi {player:jugador},I heal my {player:player} for 4 life
CARD_80_NAME,PRESENTACIÓN,PRESENTATION
CARD_80_DESC,{add:Crea} APLICACIÓN y DATOS DE PRESENTACIÓN entre las 10 primeras cartas del {deck:mazo},{add:Create} APPLICATION and PRESENTATION DATA among the first 10 cards of the {deck:deck}
CARD_81_NAME,DATOS DE PRESENTACIÓN,PRESENTATION DATA
CARD_81_DESC,[+2/+2] a las dos próximas unidades que {play:juegue} mi {player:jugador},[+2/+2] to the next two units my {player:player} {play:plays}
CARD_82_NAME,APLICACIÓN,APPLICATION
CARD_82_DESC,{add:Crea} Ex Machina y DATOS DE APLICACIÓN entre las 10 primeras cartas del {deck:mazo},{add:Create} Ex Machina and APPLICATION DATA among the first 10 cards of the {deck:deck}
CARD_83_NAME,DATOS DE APLICACIÓN,APPLICATION DATA
CARD_83_DESC,{draw:Roba} 3 cartas,{draw:Draw} 3 cards
CARD_84_NAME,Ex Machina,Ex Machina
CARD_84_DESC,Todas las capas han sido ensambladas. La máquina perfecta. {endround:Final de ronda}: decido por el jugador,All layers have been assembled. The perfect machine. {endround:End of round}: I decide for the player
CARD_85_NAME,HUB,HUB
CARD_85_DESC,"Cuando mi {player:jugador} {play:juega} un hechizo {family:paquete}, se activa una vez más","When my {player:player} {play:plays} a {family:packet} spell, it activates once more"
CARD_86_NAME,Router,Router
CARD_86_DESC,{endround:Final de ronda}: {draw:robo} un {family:paquete},{endround:End of round}: {draw:draw} a {family:packet}
CARD_87_NAME,Electricista apañado,Handy Electrician
CARD_87_DESC,"Cuando mi {player:jugador} me {play:juega}, {draw:roba} una {family:capa}","When my {player:player} {play:plays} me, {draw:draw} a {family:layer}"
CARD_88_NAME,Hacker,Hacker
CARD_88_DESC,"Cuando mi {player:jugador} {play:juega} un {family:paquete}, {add:creo} un {family:virus} en la mano del {rival:rival}. {skill:HABILIDAD}: inflinjo al {rival:rival} 1 por cada {family:virus} que tenga en la mano","When my {player:player} {play:plays} a {family:packet}, I {add:create} a {family:virus} in the {rival:rival}'s hand. {skill:SKILL}: I deal 1 damage to the {rival:rival} for each {family:virus} they have in hand"
CARD_89_NAME,Malware,Malware
CARD_89_DESC,Inflinjo 1 de daño a mi {player:jugador},I deal 1 damage to my {player:player}
CARD_90_NAME,Mensaje de broadcast,Broadcast Message
CARD_90_DESC,{play:Juega} todos los {family:virus} que haya en mano del {rival:rival},{play:Play} all {family:virus} cards in the {rival:rival}'s hand
CARD_91_NAME,Denegación de servicio,Denial of Service
CARD_91_DESC,[-3/0] a la {board:mesa} del {rival:rival},[-3/0] to the {rival:rival}'s {board:board}
CARD_92_NAME,Troyano,Trojan
CARD_92_DESC,"Cuando soy {play:jugado}, {play:juego} un {family:Virus} de la mano del {rival:rival}. Cuando {die:muero}, me {add:creo} un malware en la mano del {rival:rival}","When I am {play:played}, I {play:play} a {family:Virus} from the {rival:rival}'s hand. When I {die:die}, I {add:create} a malware in the {rival:rival}'s hand"
CARD_93_NAME,Firewall,Firewall
CARD_93_DESC,"Cuando el {rival:rival} {play:juega} un {family:virus}, consigo [+1/+1]","When the {rival:rival} {play:plays} a {family:virus}, I get [+1/+1]"
CARD_94_NAME,Copia de seguridad,Backup
CARD_94_DESC,{skill:HABILIDAD}: {die:Muero} y curo a mi {player:jugador} el equivalente a mi vida,{skill:SKILL}: I {die:die} and heal my {player:player} for the equivalent of my life
CARD_95_NAME,Prueba Unitaria,Unit Test
CARD_95_DESC,{draw:Roba} una {family:capa}. Las cartas de tipo {family:Seguridad} en el {deck:mazo} y {board:mesa} de mi {player:jugador} ganan 1 de vida,{draw:Draw} a {family:layer}. {family:Security}-type cards in my {player:player}'s {deck:deck} and {board:board} gain 1 life
CARD_96_NAME,Moneda de la llamada,Coin of the Call
CARD_96_DESC,"50% de probabilidades de {play:jugar} un terror agónico en la {board:mesa} de mi {player:jugador}, si hay hueco","50% chance to {play:play} an Agonizing Terror on my {player:player}'s {board:board}, if there is space"
CARD_97_NAME,Terror Agónico,Agonizing Terror
CARD_97_DESC,,
CARD_98_NAME,Moneda sangrienta,Bloody Coin
CARD_98_DESC,"50% de probabilidades de curar a mi {player:juagdor} 2, y quitarle 2 de vida al {rival:rival}","50% chance to heal my {player:player} for 2, and take 2 life from the {rival:rival}"
CARD_99_NAME,Moneda del sufrimiento,Coin of Suffering
CARD_99_DESC,50% de probabilidades de [-1/-1] a la {board:mesa} {rival:rival},50% chance of [-1/-1] to the {rival:rival} {board:board}
CARD_100_NAME,Moneda gloriosa,Glorious Coin
CARD_100_DESC,50% de probabilidades de otorgar [+1/+1] a la {board:mesa} y al {deck:mazo} de mi {player:jugador},50% chance to grant [+1/+1] to my {player:player}'s {board:board} and {deck:deck}
CARD_101_NAME,Moneda codiciosa,Greedy Coin
CARD_101_DESC,50% de probabilidades de curar 4 de vida a mi {player:jugador},50% chance to heal my {player:player} for 4 life
CARD_102_NAME,Moneda de la venganza,Coin of Vengeance
CARD_102_DESC,50% de probabilidades de quitar 4 de vida al {rival:rival},50% chance to take 4 life from the {rival:rival}
CARD_103_NAME,Moneda de las profundidades,Coin of the Depths
CARD_103_DESC,Copio un hechizo del {deck:mazo} {rival:rival} y lo {play:juego},I copy a spell from the {rival:rival}'s {deck:deck} and {play:play} it
CARD_104_NAME,Ladrón codicioso,Greedy Thief
CARD_104_DESC,"Cuando {die:muero}, {add:creo} dos {family:monedas del caos} en el mazo de mi {player:jugador}","When I {die:die}, I {add:create} two {family:chaos coins} in my {player:player}'s deck"
CARD_105_NAME,Máquina de lotería,Lottery Machine
CARD_105_DESC,"Cuando mi jugador {play:juega} una {family:moneda del caos}, la vuelvo a {play:jugar}","When my player {play:plays} a {family:chaos coin}, I {play:play} it again"
CARD_106_NAME,Tesoro maldito,Cursed Treasure
CARD_106_DESC,{add:Creo} seis {family:monedas del caos} en el mazo de mi {player:jugador},I {add:create} six {family:chaos coins} in my {player:player}'s deck
CARD_107_NAME,Pago de sangre,Blood Payment
CARD_107_DESC,"{die:Mato} una una unidad de mi {player:jugador}. [0/-4] a una unidad {rival:rival} y {add:creo} dos {family:monedas del caos} en el mazo de mi {player:jugador}","I {die:kill} a unit of my {player:player}. [0/-4] to a {rival:rival} unit and I {add:create} two {family:chaos coins} in my {player:player}'s deck"
CARD_108_NAME,Acólito sangriento,Bloody Acolyte
CARD_108_DESC,"{skill:HABILIDAD}: [0/-1] a mí mismo, [-1/0] a la mesa {rival:rival}","{skill:SKILL}: [0/-1] to myself, [-1/0] to the {rival:rival} board"
CARD_109_NAME,Adicto al oro,Gold Addict
CARD_109_DESC,{skill:HABILIDAD}: {play:Juego} una {family:moneda del caos} en la mano de mi {player:jugador},{skill:SKILL}: I {play:play} a {family:chaos coin} into my {player:player}'s hand
CARD_110_NAME,Reflejo maldito,Cursed Reflection
CARD_110_DESC,"Cuando mi {player:jugador} {play:juega} una {family:moneda del caos}, {add:creo} dos {family:monedas del caos} en su {deck:mazo}","When my {player:player} {play:plays} a {family:chaos coin}, I {add:create} two {family:chaos coins} in their {deck:deck}"
CARD_111_NAME,Auxilio del caos,Aid of Chaos
