key,es,en
HOME_SECTION_DES_BO3,30 min. Al mejor de 3 partidas. Los mazos no se pueden repetir y los jugadores toman turnos para elegir. Un modo más competitivo y dinámico,Best of 3. The decks cannot be repeated and players take turns in order to chose. A more competitive and dynamic style.
HOME_SECTION_KOFI,Ko-Fi,Ko-Fi
GALLERY_SECTION_TITLE,Galería de cartas,Card's Gallery
GALLERY_SECTION_SUBTITLE,Explora todas las cartas y descubre sus poderes,Search all cards and their powers
GALLERY_SECTION_BACK,Volver al inicio,Return to home page
GALLERY_LOADING,Cargando cartas...,Loading cards...
GALLERY_SECTION_SELECT_CARD,Haz click en una carta para ver lo que hace,Click on a card to see what it does
SERIES_HIDDEN_STATUS,Mazo oculto hasta que empiece la partida,Hidden deck until match starts
SERIES_SECTION_TITLE,Mejor de 3,Best of 3
SERIES_SECTION_FORFEITED,Tu rival ha abandonado la serie
SERIES_SECTION_WINNER,¡Serie terminada!,Series Finished!
SERIES_SECTION_WINNER_YOU,¡Has ganado la serie!,You won!
SERIES_SECTION_WINNER_RIVAL, ha ganado la serie, has won the series
SERIES_SECTION_RETURN_HOME,Volver al inicio,Go to the start
SERIES_SECTION_ROUND,Ronda,Round
SERIES_SECTION_ROUND_OF, de 3, of 3
SERIES_SECTION_YOU,Tú,You
SERIES_SECTION_WAITING,Elige tu mazo,Choose your deck
SERIES_SECTION_WAITING_YOU,Mazo elegido, esperando a tu rival,Deck chosen. Waiting for rival
SERIES_SECTION_LOADING_DECKS,Cargando mazos...,Loading decks...
ERROR_SECTION_TITLE,Conexión perdida con el servidor,Connection with server lost
ERROR_SECTION_MESSAGE,Lo sentimos. Parece que se ha perdido la conexión con el servidor.,We are sorry. It seems there is a problem with the server
ERROR_SECTION_SUB_MESSAGE,Nuestro equipo está trabajando en solucionarlo. Por favor vuelve a intentarlo más adelante.,Our team is currently fixing it. Please try again later
ERROR_SECTION_RETRY,Reintentar conexión,Try reconnecting
ERROR_SECTION_FOOTER,Gracias por su paciencia,Thanks for your patiente
GAME_SECTION_TURN,Ronda,Round
GAME_SECTION_TURN_PLAYER,Al acabar este turno, todos los jugadores roban una carta,At the end of this turn all players draw card
GAME_SECTION_DISCONNECTED,se ha desconectado. Finalizando la partida en,has leave the match. Ending the game in
GAME_SECTION_DISCONNECTED_SUBTEXT,si no vuelve...,if it doesnt come back...
GAME_SECTION_WINNER,es el ganador y le deben una cerveza.,is the winner and they own a beer
GAME_SECTION_RETURN_HOME,Aceptar,Accept
GAME_SECTION_ROTATE_PHONE,Por favor rota tu teléfono para jugar.,Please rotate your phone in order to play
STATS_SECTION_TITLE,Estadísticas de las Barajas,Stats of the decks
STATS_SECTION_SUBTITLE,Partidas totales jugadas:,Total games played:
STATS_SECTION_BACK,Volver a inicio,Go to the home page
STATS_SECTION_NO_DECKS,Todavía no hay estadísticas registradas.,There is no current stats yet
STATS_SECTION_GAMES,partidas,games
STATS_SECTION_GAMES_PLAYED, Partidas jugadas:,Played games:
STATS_SECTION_AVERAGE_TURN,Turno medio de finalización:,Average turn end:
STATS_SECTION_AVERAGE_SECONDS,Tiempo medio de partida:,Average game duration:
STATS_SECTION_MATCHUPS,Enfrentamientos por baraja rival,Games against rival deck
STATS_SECTION_WINS,Victorias,Wins
STATS_SECTION_LOSSES,Derrotas,Losses
STATS_SECTION_NO_DECKS,Haz click en una baraja para ver sus estadísticas,Click a deck to see it's stats
STATS_SECTION_LOADING,Cargando estadísticas...,Loading statistics...
TEAM_SECTION_TITLE,Conoce al equipo,Meet the team
TEAM_SECTION_SUBTITLE,Un equipo de decenas de profesionales que resultan ser las mismas 2 personas.,A team made by lots of professionals. Turns out they are the same 2 people
TEAM_SECTION_BACK,Volver a inicio,Return to the home page
TEAM_SECTION_COLLABORATORS,COLABORADOR@S,COLLABORATORS
CARD_CONDITION_PROGRESS,Progreso:,Progress:
CHAT_SECTION_TITLE,Chat,Chat
DECK_SECTION_CARDS,Cartas en el mazo:,Amount of cards:
HELP_SECTION_TITLE,CÓMO JUGAR,HOW TO PLAY
HELP_SECTION_CARD_TYPES,TIPOS DE CARTAS,TYPES OF CARDS
HELP_CARD_TYPE_SPELL,HECHIZO,SPELL
HELP_CARD_TYPE_SPELL_DESC,Los hechizos son cartas que se juegan y se descartan inmediatamente después de su uso. Pueden tener efectos que afectan a las unidades en juego al jugador o al oponente.,Spells are cards that can be played and discard inmediatly after its use. They can have effects that alter units or the players

SETTINGS_TITLE,Ajustes,Settings
SETTINGS_LANGUAGE,Idioma,Language,
SETTINGS_ANIMATION_SPEED,Velocidad de animación,Animation Speed
SETTINGS_CURRENT_LABEL,Actual:,Current:
SETTINGS_MUSIC,Música,Music
SETTINGS_SOUND_EFFECTS,Efectos de sonido,Sound Effects
SETTINGS_ENABLED,Activado,Enabled
ERR_UNEXPECTED,Ha ocurrido un error inesperado.,An unexpected error occurred.
HOME_SECTION_NAME_LABEL,Nombre,Name
HOME_SECTION_COPY_CODE_TITLE,Copiar código,Copy code
HOME_SECTION_JOIN_CODE_PLACEHOLDER,Código de partida,Match code
HOME_OPTION_PLAY,Jugar,Play
HOME_OPTION_CREATE,Crear,Create
HOME_OPTION_JOIN,Unirse,Join
HOME_OPTION_BOT,Máquina,Bot
GAME_SECTION_WINNER_PLACEHOLDER,Jugador 1,Player 1
GAME_SECTION_TARGET_PLAYER,Jugador objetivo:,Target player:
GAME_SECTION_EFFECTS,Efectos:,Effects:
ALERT_SECTION_TITLE,Error,Error
ALERT_SECTION_ACCEPT,Aceptar,Accept
CHAT_SECTION_MESSAGE_TITLE,Mensaje Arcano,Arcane Message
CHAT_SECTION_PLACEHOLDER,Escribe un mensaje...,Write a message...
CHAT_SECTION_SEND,Enviar,Send
DECK_RANDOM_NAME,Aleatorio,Random
SERIES_SECTION_RIVAL_SELECTING,Esperando a que elijas,Waiting for you to choose
SERIES_SECTION_RIVAL_WAITING,Seleccionando mazo...,Selecting deck...
SERIES_SECTION_RIVAL_WAITING_YOU,Eligiendo mazo...,Choosing deck...
HELP_CARD_TYPE_UNIT,UNIDAD,UNIT
HELP_CARD_TYPE_UNIT_DESC,Las unidades son cartas que se juegan y permanecen en el campo de batalla hasta que sean destruidas. Tienen ataque (izq) y vida (drcha). Pueden atacar al oponente y defender al jugador.,Units are cards that are played and remain on the battlefield until destroyed. They have attack (left) and health (right). They can attack the opponent and defend the player.
HELP_CARD_TYPE_ABILITY,HABILIDAD,ABILITY
HELP_CARD_TYPE_ABILITY_DESC,Algunas cartas independientemente de su tipo pueden tener habilidades. Las habilidades no gastan turno y solo se pueden usar cuando la carta esté en la mesa o se haya jugado como los hechizos. Las habilidades pueden tener efectos que afectan a las unidades en juego al jugador o al oponente.,Some cards regardless of their type can have abilities. Abilities do not use up a turn and can only be used when the card is on the board or has just been played like spells. Abilities can have effects that affect the units in play the player or the opponent.
HELP_SECTION_ACTIONS,ACCIONES,ACTIONS
HELP_VIDEO_PLAY_UNIT,Jugar una unidad,Play a unit
HELP_VIDEO_USE_ABILITY,Usar habilidad,Use ability
HELP_VIDEO_PLAY_SPELL,Jugar hechizo,Play spell
HELP_VIDEO_ATTACK,Atacar,Attack
HELP_VIDEO_DRAW_CARD,Robar carta,Draw card
HELP_VIDEO_ATTACK_RIVAL_HEALTH,Atacar vida del rival,Attack rival health
HELP_VIDEO_INSPECT_CARD,Inspeccionar carta,Inspect card
HELP_CARD_EXAMPLE_SPELL_NAME,Hechizo,Spell
HELP_CARD_EXAMPLE_SPELL_DESC,Este es un ejemplo de carta de hechizo.,This is an example of a spell card.
HELP_CARD_EXAMPLE_UNIT_NAME,Unidad,Unit
HELP_CARD_EXAMPLE_UNIT_DESC,Este es un ejemplo de carta de unidad.,This is an example of a unit card.
HELP_CARD_EXAMPLE_ABILITY_NAME,Carta con habilidad,Card with ability
TEAM_DEV1_ROLE,Área técnica,Technical Area
TEAM_DEV1_TITLE_01,Director Ejecutivo (CEO),Chief Executive Officer (CEO)
TEAM_DEV1_TITLE_02,Director Técnico (CTO),Chief Technology Officer (CTO)
TEAM_DEV1_TITLE_03,Programador Jefe,Lead Programmer
TEAM_DEV1_TITLE_04,Arquitecto de Software,Software Architect
TEAM_DEV1_TITLE_05,Desarrollador Backend Senior,Senior Backend Developer
TEAM_DEV1_TITLE_06,Desarrollador Frontend Senior,Senior Frontend Developer
TEAM_DEV1_TITLE_07,Desarrollador Full Stack,Full Stack Developer
TEAM_DEV1_TITLE_08,Ingeniero de Redes,Network Engineer
TEAM_DEV1_TITLE_09,Ingeniero de WebSockets,WebSocket Engineer
TEAM_DEV1_TITLE_10,Administrador de Bases de Datos,Database Administrator
TEAM_DEV1_TITLE_11,Administrador de Servidores,Server Administrator
TEAM_DEV1_TITLE_12,Ingeniero DevOps,DevOps Engineer
TEAM_DEV1_TITLE_13,Responsable de Infraestructura en la Nube,Cloud Infrastructure Lead
TEAM_DEV1_TITLE_14,Ingeniero de Seguridad Informática,Information Security Engineer
TEAM_DEV1_TITLE_15,Líder de Control de Versiones,Version Control Lead
TEAM_DEV1_TITLE_16,Ingeniero de Rendimiento,Performance Engineer
TEAM_DEV1_TITLE_17,Programador de Inteligencia Artificial (los bots),Artificial Intelligence Programmer (the bots)
TEAM_DEV1_TITLE_18,Diseñador del Motor de Reglas,Rules Engine Designer
TEAM_DEV1_TITLE_19,Responsable de Matchmaking,Matchmaking Lead
TEAM_DEV1_TITLE_20,Ingeniero de QA Automatizado,Automated QA Engineer
TEAM_DEV1_TITLE_21,Cazador de Bugs Oficial,Official Bug Hunter
TEAM_DEV1_TITLE_22,Responsable de Builds y Despliegues,Builds and Deployments Lead
TEAM_DEV1_TITLE_23,Soporte Técnico Niveles 1 2 y 3,Tier 1 2 and 3 Technical Support
TEAM_DEV1_TITLE_24,Redactor de la Documentación Técnica,Technical Documentation Writer
TEAM_DEV1_TITLE_25,Traductor de COSAS A CAMBIAR.txt,Translator of COSAS A CAMBIAR.txt
TEAM_DEV1_TITLE_26,Responsable de que el servidor no se caiga a las 3 AM,In charge of keeping the server from crashing at 3 AM
TEAM_DEV2_ROLE,Área gráfica,Graphic Area
TEAM_DEV2_TITLE_01,Director Creativo,Creative Director
TEAM_DEV2_TITLE_02,Director de Arte,Art Director
TEAM_DEV2_TITLE_03,Diseñador de Personajes,Character Designer
TEAM_DEV2_TITLE_04,Ilustrador de Cartas,Card Illustrator
TEAM_DEV2_TITLE_05,Artista de Conceptos,Concept Artist
TEAM_DEV2_TITLE_06,Diseñador de Interfaz (UI/UX),Interface Designer (UI/UX)
TEAM_DEV2_TITLE_07,Pintora de Splash Art,Splash Art Painter
TEAM_DEV2_TITLE_08,Diseñador de Iconos,Icon Designer
TEAM_DEV2_TITLE_09,Colorista Jefe,Lead Colorist
TEAM_DEV2_TITLE_10,Diseñador de Mazos,Deck Designer
TEAM_DEV2_TITLE_11,Artista de Fondos y Escenarios,Backgrounds and Scenery Artist
TEAM_DEV2_TITLE_12,Responsable de Tipografía,Typography Lead
TEAM_DEV2_TITLE_13,Diseñador del Esqueleto de la Beta,Beta Skeleton Designer
TEAM_DEV2_TITLE_14,Diseñador del Logo,Logo Designer
TEAM_DEV2_TITLE_15,Director de Identidad de Marca,Brand Identity Director
TEAM_DEV2_TITLE_16,Community Manager Visual,Visual Community Manager
TEAM_DEV2_TITLE_17,Diseñador de Redes Sociales,Social Media Designer
TEAM_DEV2_TITLE_18,Responsable de Animaciones,Animations Lead
TEAM_DEV2_TITLE_19,Artista de Efectos Visuales,Visual Effects Artist
TEAM_DEV2_TITLE_20,Diseñador de Empaques (para cuando haya cartas físicas),Packaging Designer (for when there are physical cards)
TEAM_DEV2_TITLE_21,Consultor de Estética General,General Aesthetics Consultant
TEAM_DEV2_TITLE_22,Encargado de que todo se vea bonito,In charge of making everything look nice
TEAM_COLLAB1_ROLE,Dibujante,Illustrator
HOME_SECTION_ACTIVE_MATCH_TITLE,Partida en curso,Match in progress
HOME_SECTION_ACTIVE_MATCH_MESSAGE,Tienes una partida sin terminar. Puedes continuar jugando o cancelarla.,You have an unfinished match. You can continue playing or cancel it.
HOME_SECTION_ACTIVE_MATCH_CHECKING,Comprobando si tienes una partida en curso...,Checking for a match in progress...
HOME_SECTION_CONTINUE_MATCH,Continuar partida,Continue match
HOME_SECTION_CANCEL_MATCH,Cancelar partida,Cancel match
HOME_SECTION_CANCELLING_MATCH,Cancelando partida...,Cancelling match...
TITLE_HOME,El Bar de los Magos — Juego de cartas online gratis sin registro,El Bar de los Magos — Free online card game with no sign-up
TITLE_GAME,Partida en curso — El Bar de los Magos,Match in progress — El Bar de los Magos
TITLE_ERROR,Error de conexión — El Bar de los Magos,Connection error — El Bar de los Magos
TITLE_GALLERY,Galería de cartas — El Bar de los Magos,Card gallery — El Bar de los Magos
TITLE_STATS,Estadísticas de mazos — El Bar de los Magos,Deck statistics — El Bar de los Magos
TITLE_SERIES,Serie al mejor de 3 — El Bar de los Magos,Best-of-3 series — El Bar de los Magos
TITLE_TEAM,Equipo — El Bar de los Magos,Team — El Bar de los Magos
TITLE_PRIVACY,Política de privacidad — El Bar de los Magos,Privacy policy — El Bar de los Magos
COOKIE_CONSENT_MESSAGE,"Usamos almacenamiento local para que el juego funcione y, si nos das tu consentimiento, para mostrar anuncios. Puedes cambiar de opinión cuando quieras.","We use local storage to make the game work and, if you consent, to show ads. You can change your mind at any time."
COOKIE_CONSENT_REJECT,Rechazar,Reject
COOKIE_CONSENT_ACCEPT,Aceptar,Accept
COOKIE_CONSENT_POLICY_LINK,Política de privacidad,Privacy policy
PRIVACY_TITLE,Política de privacidad,Privacy Policy
PRIVACY_LAST_UPDATED,Última actualización: 8 de septiembre de 2026,"Last updated: September 8, 2026"
PRIVACY_BACK,Volver,Back
PRIVACY_INTRO_1,"El Bar de los Magos (en adelante, ""el juego"" o ""el sitio"") es un juego de cartas online gratuito que no requiere registro ni cuenta de usuario. Esta página explica qué información se procesa cuando juegas, para qué se usa y qué opciones tienes.","El Bar de los Magos (""the game"" or ""the site"") is a free online card game that requires no sign-up or user account. This page explains what information is processed while you play, what it is used for, and what choices you have."
PRIVACY_INTRO_2,"Responsable del sitio: Summer Productions, contactable en summer.productions.games@gmail.com. Este documento es una explicación en lenguaje llano, no un dictamen legal; para las particularidades fiscales y de consentimiento en España conviene revisarlo con un profesional.","Site operator: Summer Productions, reachable at summer.productions.games@gmail.com. This is a plain-language explanation, not legal advice — for the Spain-specific consent and tax angles it is worth a professional review before going live."
PRIVACY_SECTION_1_HEADING,1. Qué información se procesa,1. What information is processed
PRIVACY_SECTION_1_PARA_1,"No pedimos registro, correo electrónico ni contraseña para jugar. La información que se procesa es la mínima necesaria para que la partida funcione:","We don't ask for sign-up, an email address, or a password to play. Only the minimum needed to run a match is processed:"
PRIVACY_SECTION_1_PARA_2,"• El nombre que escribes para jugar: se usa solo durante tu partida y no se guarda de forma permanente en el servidor.","• The name you type to play: used only for the duration of your match and not permanently stored on the server."
PRIVACY_SECTION_1_PARA_3,"• Un identificador aleatorio de reconexión, guardado en tu navegador, que permite recuperar una partida en curso si se corta la conexión.","• A random reconnection identifier, stored in your browser, used to resume an in-progress match if the connection drops."
PRIVACY_SECTION_1_PARA_4,"• Tu dirección IP: el servidor la usa de forma transitoria para limitar conexiones abusivas (rate limiting) y aparece en los registros técnicos (logs) del servidor, que se conservan un máximo de 14 días y después se eliminan automáticamente.","• Your IP address: used transiently by the server to rate-limit abusive connections, and it appears in the server's technical logs, which are kept for at most 14 days and then automatically deleted."
PRIVACY_SECTION_1_PARA_5,"• Estadísticas agregadas y anónimas de partidas (victorias, derrotas, mazos usados) — no están vinculadas a ninguna persona identificable.","• Anonymous, aggregate match statistics (wins, losses, decks used) — not linked to any identifiable person."
PRIVACY_SECTION_1_PARA_6,"• Si envías una sugerencia desde el formulario del sitio, el texto se guarda tal cual lo escribes; te pedimos que no incluyas datos personales en él.","• If you submit a suggestion through the site's form, the text is stored as written; please don't include personal data in it."
PRIVACY_SECTION_2_HEADING,2. Almacenamiento en tu dispositivo,2. Storage on your device
PRIVACY_SECTION_2_PARA_1,"El sitio usa el almacenamiento local del navegador (localStorage), no cookies tradicionales, para recordar tus preferencias y mantener tu partida. Ninguno de estos datos sale de tu dispositivo salvo el identificador de reconexión, que se envía al servidor solo para recuperar tu partida. Puedes ver el detalle en la tabla más abajo.","The site uses browser local storage (localStorage), not traditional cookies, to remember your preferences and keep your match going. None of this data leaves your device except the reconnection id, which is sent to the server only to resume your match. See the table below for details."
PRIVACY_SECTION_3_HEADING,3. Publicidad (Google AdSense),3. Advertising (Google AdSense)
PRIVACY_SECTION_3_PARA_1,"Este sitio no muestra publicidad de terceros en este momento. Si en el futuro se activa Google AdSense, Google y sus socios publicitarios podrán utilizar cookies u otras tecnologías similares en tu navegador para mostrar anuncios, incluyendo, si lo autorizas, anuncios personalizados según tus intereses.","This site does not currently show third-party advertising. If Google AdSense is enabled in the future, Google and its advertising partners may use cookies or similar technology in your browser to serve ads, including, where you allow it, ads personalized to your interests."
PRIVACY_SECTION_3_PARA_2,"Llegado ese momento, el anuncio solo se cargará si has aceptado la casilla de ""no esenciales"" en el aviso de cookies de este sitio. Puedes cambiar tu decisión en cualquier momento desde la sección ""Gestionar mis preferencias"" al final de esta página.","Once that happens, ads will only load if you have accepted the ""non-essential"" option in this site's cookie notice. You can change that choice at any time from the ""Manage my preferences"" section at the bottom of this page."
PRIVACY_SECTION_3_PARA_3,"Google Ireland Limited actúa como responsable del tratamiento de los datos que recoge a través de sus propios servicios publicitarios, conforme a su Política de consentimiento de la UE. Puedes consultar cómo Google utiliza los datos en https://policies.google.com/technologies/partner-sites y gestionar la personalización de anuncios en https://myadcenter.google.com/.","Google Ireland Limited acts as the controller for data it collects through its own advertising services, under its EU User Consent Policy. You can read how Google uses this data at https://policies.google.com/technologies/partner-sites and manage ad personalization at https://myadcenter.google.com/."
PRIVACY_SECTION_3_PARA_4,"No accedemos ni solicitamos tu ubicación precisa. Los sistemas publicitarios de Google, si están activos, pueden inferir una ubicación aproximada a partir de tu IP para mostrar anuncios relevantes; eso lo gestiona Google, no este sitio.","We do not access or request your precise location. Google's advertising systems, if active, may infer an approximate location from your IP to show relevant ads; that is handled by Google, not by this site."
PRIVACY_SECTION_4_HEADING,4. Base legal,4. Legal basis
PRIVACY_SECTION_4_PARA_1,"Tratamos tu IP y aplicamos límites de conexión por interés legítimo en mantener el servicio disponible y seguro. El almacenamiento estrictamente necesario para jugar (reconexión, partida activa) se basa en que es imprescindible para el servicio que has solicitado. El almacenamiento no esencial (y cualquier cookie publicitaria futura) se basa en tu consentimiento, que puedes dar o retirar libremente.","We process your IP and apply connection limits under legitimate interest in keeping the service available and secure. Storage that is strictly necessary to play (reconnection, active match) rests on it being required for the service you requested. Non-essential storage (and any future advertising cookie) rests on your consent, which you can give or withdraw freely."
PRIVACY_SECTION_5_HEADING,5. Tus derechos,5. Your rights
PRIVACY_SECTION_5_PARA_1,"Como no recogemos cuentas ni datos identificables de forma permanente, hay poco que rectificar o eliminar por nuestra parte. Aun así, puedes escribir a summer.productions.games@gmail.com para solicitar acceso, rectificación o eliminación de cualquier dato personal que consideres que tenemos sobre ti (por ejemplo, el contenido de una sugerencia enviada), o para cualquier duda sobre este documento. Tienes derecho a reclamar ante la Agencia Española de Protección de Datos (aepd.es) si consideras que no se ha atendido tu solicitud.","Since we don't keep accounts or permanent identifiable data, there is little to rectify or delete on our side. Still, you can write to summer.productions.games@gmail.com to request access to, correction of, or deletion of any personal data you believe we hold about you (for example, the content of a submitted suggestion), or with any question about this document. You have the right to file a complaint with the Spanish Data Protection Agency (aepd.es) if you feel your request wasn't addressed."
PRIVACY_SECTION_6_HEADING,6. Menores,6. Children
PRIVACY_SECTION_6_PARA_1,Este sitio no está dirigido específicamente a menores de edad y no solicitamos ni recogemos conscientemente datos personales de menores.,"This site is not specifically directed at children, and we do not knowingly request or collect personal data from children."
PRIVACY_SECTION_7_HEADING,7. Cambios en esta política,7. Changes to this policy
PRIVACY_SECTION_7_PARA_1,"Podemos actualizar este documento si cambia el funcionamiento del sitio (por ejemplo, al activar la publicidad). La fecha de ""última actualización"" al principio de la página indica la versión vigente.","We may update this document if how the site works changes (for example, when advertising is switched on). The ""last updated"" date at the top of the page marks the current version."
PRIVACY_STORAGE_TABLE_HEADING,Detalle del almacenamiento local,Local storage detail
PRIVACY_STORAGE_COL_NAME,Clave,Key
PRIVACY_STORAGE_COL_PURPOSE,Para qué se usa,What it is for
PRIVACY_STORAGE_COL_DURATION,Duración,Duration
PRIVACY_STORAGE_ROW_1_NAME,wizardwar_client_id,wizardwar_client_id
PRIVACY_STORAGE_ROW_1_PURPOSE,Identificador de reconexión de partida,Match reconnection identifier
PRIVACY_STORAGE_ROW_1_DURATION,Hasta que borres los datos del sitio,Until you clear site data
PRIVACY_STORAGE_ROW_2_NAME,wizardwar_active_game,wizardwar_active_game
PRIVACY_STORAGE_ROW_2_PURPOSE,Recordar si tienes una partida sin terminar,Remembers an unfinished match
PRIVACY_STORAGE_ROW_2_DURATION,Hasta que termine o abandones la partida,Until the match ends or is abandoned
PRIVACY_STORAGE_ROW_3_NAME,wizardwar_language,wizardwar_language
PRIVACY_STORAGE_ROW_3_PURPOSE,Idioma de la interfaz,Interface language
PRIVACY_STORAGE_ROW_3_DURATION,Hasta que lo cambies o borres los datos del sitio,Until changed or site data is cleared
PRIVACY_STORAGE_ROW_4_NAME,wizardwar_music_volume / wizardwar_sfx_volume / wizardwar_music_enabled / wizardwar_sfx_enabled,wizardwar_music_volume / wizardwar_sfx_volume / wizardwar_music_enabled / wizardwar_sfx_enabled
PRIVACY_STORAGE_ROW_4_PURPOSE,Preferencias de audio,Audio preferences
PRIVACY_STORAGE_ROW_4_DURATION,Hasta que las cambies o borres los datos del sitio,Until changed or site data is cleared
PRIVACY_STORAGE_ROW_5_NAME,wizardwar_animation_speed,wizardwar_animation_speed
PRIVACY_STORAGE_ROW_5_PURPOSE,Velocidad de las animaciones,Animation speed
PRIVACY_STORAGE_ROW_5_DURATION,Hasta que la cambies o borres los datos del sitio,Until changed or site data is cleared
PRIVACY_STORAGE_ROW_6_NAME,wizardwar_cookie_consent / wizardwar_cookie_consent_date,wizardwar_cookie_consent / wizardwar_cookie_consent_date
PRIVACY_STORAGE_ROW_6_PURPOSE,Recordar tu decisión sobre este aviso,Remembers your choice on this notice
PRIVACY_STORAGE_ROW_6_DURATION,"180 días, después se vuelve a preguntar","180 days, then you are asked again"
PRIVACY_MANAGE_HEADING,Gestionar mis preferencias,Manage my preferences
PRIVACY_MANAGE_DESCRIPTION,"Puedes aceptar o rechazar el almacenamiento no esencial (incluida la futura publicidad) en cualquier momento.","You can accept or reject non-essential storage (including any future advertising) at any time."
PRIVACY_MANAGE_CURRENT_LABEL,Tu elección actual:,Your current choice:
PRIVACY_MANAGE_ACCEPTED,Aceptado,Accepted
PRIVACY_MANAGE_REJECTED,Rechazado,Rejected
PRIVACY_MANAGE_NOT_SET,Sin decidir todavía,Not decided yet
PRIVACY_MANAGE_ACCEPT_BTN,Aceptar,Accept
PRIVACY_MANAGE_REJECT_BTN,Rechazar,Reject
